trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.6, 'e': 0.9093297114626595}",20,0,-57.19991923727123,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
95,False,"{'a': 0.6, 'e': 0.9084203817511969}",20,0,-195.93369298031558,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
96,False,"{'a': 0.6, 'e': 0.9075119613694457}",20,0,-24.379934546800403,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.6, 'e': 0.9066044494080763}",25,0,-27.64173080308043,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
98,False,"{'a': 0.6, 'e': 0.9056978449586682}",30,0,-120.17119391864281,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
99,False,"{'a': 0.6, 'e': 0.9047921471137096}",20,0,-40.76264746032552,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.6, 'e': 0.9038873549665959}",20,1,-74.3171801604419,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
101,False,"{'a': 0.6, 'e': 0.9029834676116293}",30,0,-154.5196932228508,"{0: 15, 1: 2, 2: 10, 3: 3, 4: 0}",0
102,False,"{'a': 0.6, 'e': 0.9020804841440176}",25,0,-67.43491251689599,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
103,False,"{'a': 0.6, 'e': 0.9011784036598737}",20,0,-113.28906684907446,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
104,False,"{'a': 0.6, 'e': 0.9002772252562138}",25,4,-135.3897188763593,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 2}",1
105,False,"{'a': 0.6, 'e': 0.8993769480309576}",25,0,-124.41293029927938,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
106,False,"{'a': 0.6, 'e': 0.8984775710829266}",20,0,-102.37317772981223,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
107,False,"{'a': 0.6, 'e': 0.8975790935118436}",25,0,-158.38442697779163,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
108,False,"{'a': 0.6, 'e': 0.8966815144183318}",20,0,-200.99163834567332,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
109,False,"{'a': 0.6, 'e': 0.8957848329039134}",20,0,-50.53752288663121,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
110,False,"{'a': 0.6, 'e': 0.8948890480710096}",20,0,-72.95777783414808,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.6, 'e': 0.8939941590229386}",25,0,-55.241718171224306,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.6, 'e': 0.8931001648639156}",25,0,-151.24664792078497,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
113,False,"{'a': 0.6, 'e': 0.8922070646990518}",20,0,-66.75396720981057,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
114,False,"{'a': 0.6, 'e': 0.8913148576343527}",30,0,-105.64685407419748,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
115,False,"{'a': 0.6, 'e': 0.8904235427767183}",25,0,-117.58625166566371,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
116,False,"{'a': 0.6, 'e': 0.8895331192339416}",30,0,-270.9754673343918,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 5}",0
117,False,"{'a': 0.6, 'e': 0.8886435861147077}",30,0,-127.98049139289029,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
118,False,"{'a': 0.6, 'e': 0.887754942528593}",20,0,-182.89694206095962,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
119,False,"{'a': 0.6, 'e': 0.8868671875860644}",25,6,-45.5457759161857,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.6, 'e': 0.8859803203984784}",20,0,-114.75398922946272,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
121,False,"{'a': 0.6, 'e': 0.88509434007808}",25,11,-97.311455005793,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 1}",1
122,False,"{'a': 0.6, 'e': 0.8842092457380019}",30,0,-116.45994616922967,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
123,False,"{'a': 0.6, 'e': 0.8833250364922639}",35,0,-143.03395937365457,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
124,False,"{'a': 0.6, 'e': 0.8824417114557717}",20,0,-24.962161994924294,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
